period,tp_variant,trades_count,total_return,win_rate,profit_factor
2024-12-30/2025-01-05,midpoint,2,0.0043785395856816844,1.0,inf
2024-12-30/2025-01-05,opposite_extreme,2,0.012704621337932709,1.0,inf
2025-01-06/2025-01-12,midpoint,1,-0.0028417307098566047,0.0,0.0
2025-01-06/2025-01-12,opposite_extreme,1,-0.0006325276884623365,0.0,0.0
2025-01-13/2025-01-19,midpoint,4,0.001874097151916887,0.75,8.627123367509286
2025-01-13/2025-01-19,opposite_extreme,4,-0.014989543904878944,0.25,0.2349161500337112
2025-01-20/2025-01-26,midpoint,1,-0.0007787516894380841,0.0,0.0
2025-01-20/2025-01-26,opposite_extreme,1,0.0004167395104823779,1.0,inf
2025-01-27/2025-02-02,midpoint,3,-0.0072363447562988625,0.3333333333333333,0.047373263952599096
2025-01-27/2025-02-02,opposite_extreme,3,0.002405623587778738,0.3333333333333333,1.9485544340190837
2025-02-03/2025-02-09,midpoint,3,-0.006165148429385536,0.0,0.0
2025-02-03/2025-02-09,opposite_extreme,3,-0.00031095700507199897,0.3333333333333333,0.6812260650183221
2025-02-10/2025-02-16,midpoint,1,0.0002493399987630873,1.0,inf
2025-02-10/2025-02-16,opposite_extreme,1,-0.006617282496110821,0.0,0.0
2025-02-17/2025-02-23,midpoint,1,-0.000567096118558541,0.0,0.0
2025-02-17/2025-02-23,opposite_extreme,1,0.0005284428677703179,1.0,inf
2025-02-24/2025-03-02,midpoint,1,-0.004720267680920376,0.0,0.0
2025-02-24/2025-03-02,opposite_extreme,1,-0.004720267680920376,0.0,0.0
2025-03-03/2025-03-09,midpoint,4,-0.010011542943698992,0.0,0.0
2025-03-03/2025-03-09,opposite_extreme,4,-0.009895897613889315,0.25,0.290860158040438
2025-03-10/2025-03-16,midpoint,4,-0.00873396277533478,0.25,0.03962598594322318
2025-03-10/2025-03-16,opposite_extreme,4,-0.02033049527289521,0.25,0.03681468090213346
2025-03-17/2025-03-23,midpoint,2,0.0017702350555313107,1.0,inf
2025-03-17/2025-03-23,opposite_extreme,2,-0.003524760357474399,0.5,0.5960195199603625
2025-03-24/2025-03-30,midpoint,2,-0.006939389186782385,0.0,0.0
2025-03-24/2025-03-30,opposite_extreme,2,-0.005539400212303147,0.5,0.13882719737439467
2025-03-31/2025-04-06,midpoint,3,-0.017160166878492644,0.0,0.0
2025-03-31/2025-04-06,opposite_extreme,3,-0.009940011487851508,0.6666666666666666,0.20818617694090855
2025-04-07/2025-04-13,midpoint,3,-0.012461525069146218,0.3333333333333333,0.13338710492000275
