period,tp_variant,trades_count,total_return,win_rate,profit_factor
2025-01-02,midpoint,1,0.0022785340719366776,1.0,inf
2025-01-02,opposite_extreme,1,0.00528012042894388,1.0,inf
2025-01-03,midpoint,1,-4.717141700338878e-05,0.0,0.0
2025-01-03,opposite_extreme,1,0.002192950562431406,1.0,inf
2025-01-08,midpoint,1,-0.0014531520642492302,0.0,0.0
2025-01-08,opposite_extreme,1,-7.7233724858905e-05,0.0,0.0
2025-01-13,midpoint,1,0.00033755960919412686,1.0,inf
2025-01-13,opposite_extreme,1,-0.004756643289453244,0.0,0.0
2025-01-14,midpoint,1,0.00021655677869092393,1.0,inf
2025-01-14,opposite_extreme,1,-0.0049382717693313705,0.0,0.0
2025-01-16,midpoint,1,-7.98768680694284e-05,0.0,0.0
2025-01-16,opposite_extreme,1,0.0010489078673689978,1.0,inf
2025-01-21,midpoint,1,-0.001524237547117946,0.0,0.0
2025-01-21,opposite_extreme,1,-0.00025024349124491696,0.0,0.0
2025-01-23,midpoint,1,-0.0006969993180578893,0.0,0.0
2025-01-23,opposite_extreme,1,-0.004433641163881452,0.0,0.0
2025-01-24,midpoint,1,4.27431347460594e-05,1.0,inf
2025-01-24,opposite_extreme,1,-0.003594347484207616,0.0,0.0
2025-01-27,midpoint,1,0.0005963926302221534,1.0,inf
2025-01-27,opposite_extreme,1,-0.0054804819847389386,0.0,0.0
2025-01-28,midpoint,1,-0.0019651334157126943,0.0,0.0
2025-01-28,opposite_extreme,1,0.00013283818139186998,1.0,inf
2025-01-29,midpoint,1,-0.0001638769362839465,0.0,0.0
2025-01-29,opposite_extreme,1,0.0011183609029161712,1.0,inf
2025-01-30,midpoint,1,-0.0010215905967907446,0.0,0.0
2025-01-30,opposite_extreme,1,7.873405271285883e-05,1.0,inf
2025-02-03,midpoint,1,-0.0037808042315989887,0.0,0.0
2025-02-03,opposite_extreme,1,-0.0017103118773227344,0.0,0.0
2025-02-05,midpoint,1,-0.0035709362874865036,0.0,0.0
2025-02-05,opposite_extreme,1,-0.0028320160386494653,0.0,0.0
2025-02-06,midpoint,1,-0.0009860824783226585,0.0,0.0
2025-02-06,opposite_extreme,1,-0.00020170533268937252,0.0,0.0
2025-02-07,midpoint,1,-0.004277886414746357,0.0,0.0
2025-02-07,opposite_extreme,1,-0.003284525694093654,0.0,0.0
2025-02-10,midpoint,1,0.0006107223482683111,1.0,inf
2025-02-10,opposite_extreme,1,-0.001326042310670017,0.0,0.0
2025-02-12,midpoint,1,7.638178336422108e-05,1.0,inf
2025-02-12,opposite_extreme,1,-0.004517173679893904,0.0,0.0
2025-02-14,midpoint,1,-0.0008996915760217661,0.0,0.0
2025-02-14,opposite_extreme,1,-0.0003018720921870166,0.0,0.0
2025-02-19,midpoint,1,-0.0011615296302386335,0.0,0.0
2025-02-19,opposite_extreme,1,-0.0007357169348791714,0.0,0.0
2025-02-27,midpoint,1,-0.004257621840721426,0.0,0.0
2025-02-27,opposite_extreme,1,-0.004257621840721426,0.0,0.0
2025-02-28,midpoint,1,-0.0034348184016494976,0.0,0.0
2025-02-28,opposite_extreme,1,-0.0034348184016494976,0.0,0.0
2025-03-03,midpoint,1,-0.003953061609264008,0.0,0.0
2025-03-03,opposite_extreme,1,-0.003953061609264008,0.0,0.0
2025-03-05,midpoint,1,-0.001851645458930684,0.0,0.0
2025-03-05,opposite_extreme,1,0.0006196421641779803,1.0,inf
2025-03-06,midpoint,1,-0.0007305786859532759,0.0,0.0
2025-03-06,opposite_extreme,1,-0.006514178139565341,0.0,0.0
2025-03-07,midpoint,1,0.0002545735599188692,1.0,inf
2025-03-07,opposite_extreme,1,0.0037512569415798502,1.0,inf
2025-03-11,midpoint,1,-8.733872062949288e-05,0.0,0.0
2025-03-11,opposite_extreme,1,0.0023041182072014443,1.0,inf
2025-03-13,midpoint,1,-0.0009659619914292872,0.0,0.0
2025-03-13,opposite_extreme,1,0.0005098897784752143,1.0,inf
2025-03-14,midpoint,1,-0.0017808192401030931,0.0,0.0
2025-03-14,opposite_extreme,1,0.0004409984124837951,1.0,inf
2025-03-17,midpoint,1,-0.00219845235988414,0.0,0.0
2025-03-17,opposite_extreme,1,-0.010934824977743007,0.0,0.0
2025-03-21,midpoint,1,-0.00015864433940127043,0.0,0.0
2025-03-21,opposite_extreme,1,0.0016416343115004395,1.0,inf
2025-03-25,midpoint,1,-0.00027389852585602004,0.0,0.0
2025-03-25,opposite_extreme,1,0.0008956158563058203,1.0,inf
2025-03-31,midpoint,1,-0.003078923886422502,0.0,0.0
2025-03-31,opposite_extreme,1,-0.0001275450307025583,0.0,0.0
2025-04-01,midpoint,1,0.00012518162901931085,1.0,inf
2025-04-01,opposite_extreme,1,0.0016724471977263011,1.0,inf
2025-04-08,midpoint,1,-0.004476244555243758,0.0,0.0
