period,tp_variant,trades_count,total_return,win_rate,profit_factor
2025-01,midpoint,13,-0.0034819628276654413,0.38461538461538464,0.4993911344049798
2025-01,opposite_extreme,13,-0.01365733266849034,0.46153846153846156,0.4186804382993648
2025-02,midpoint,10,-0.02148753886459709,0.2,0.030716292197425932
2025-02,opposite_extreme,10,-0.022384801587485015,0.0,0.0
2025-03,midpoint,11,-0.01473425188546651,0.09090909090909091,0.01688229168040025
2025-03,opposite_extreme,11,-0.011402162378813196,0.6363636363636364,0.4720548020286429
2025-04,midpoint,13,-0.025366484151863933,0.23076923076923078,0.12427466775787677
2025-04,opposite_extreme,13,-0.0019794016711299767,0.5384615384615384,0.9067591302727462
2025-05,midpoint,16,-0.009631179237286958,0.375,0.22269772816998776
2025-05,opposite_extreme,16,-0.016173532346249297,0.4375,0.3230469491799321
2025-06,midpoint,15,-0.010919156731644897,0.2,0.15105852261938743
2025-06,opposite_extreme,15,-0.0010306614960996496,0.5333333333333333,0.9111390241613742
2025-07,midpoint,14,-0.010865762313825633,0.21428571428571427,0.06287317921368052
2025-07,opposite_extreme,14,-0.006347076246851491,0.5714285714285714,0.4809262661369634
2025-08,midpoint,12,-0.0051851856621197845,0.3333333333333333,0.20476237044120404
2025-08,opposite_extreme,12,-0.0023199032623526517,0.5,0.7258538147402247
2025-09,midpoint,15,-0.01075777163949898,0.06666666666666667,0.05624779664675711
2025-09,opposite_extreme,15,-0.002740836107028466,0.6,0.6042169147472799
2025-10,midpoint,15,-0.00578430007861519,0.2,0.23107656034657592
2025-10,opposite_extreme,15,-0.009441231903622449,0.6,0.5238310634414445
2025-11,midpoint,11,-0.00628379084821562,0.5454545454545454,0.4500187720573462
2025-11,opposite_extreme,11,0.011887876072350423,0.6363636363636364,2.6296961614789605
2025-12,midpoint,15,-0.01145468552410156,0.06666666666666667,0.017672430883345337
2025-12,opposite_extreme,15,-0.014143609465977147,0.4,0.2784332842907448
