period,tp_variant,trades_count,total_return,win_rate,profit_factor
2024-12-30/2025-01-05,midpoint,2,0.0022312551732524,0.5,48.30327805865789
2024-12-30/2025-01-05,opposite_extreme,2,0.007484650034439655,1.0,inf
2025-01-06/2025-01-12,midpoint,1,-0.0014531520642492302,0.0,0.0
2025-01-06/2025-01-12,opposite_extreme,1,-7.7233724858905e-05,0.0,0.0
2025-01-13/2025-01-19,midpoint,3,0.000474268353716667,0.6666666666666666,6.937132129457304
2025-01-13/2025-01-19,opposite_extreme,3,-0.008632662028397853,0.3333333333333333,0.10819154794126329
2025-01-20/2025-01-26,midpoint,3,-0.002177526235115468,0.3333333333333333,0.019242943162053508
2025-01-20/2025-01-26,opposite_extreme,3,-0.008260291128355801,0.0,0.0
2025-01-27/2025-02-02,midpoint,4,-0.0025535891367389763,0.25,0.1892948805375243
2025-01-27/2025-02-02,opposite_extreme,4,-0.004157591791759785,0.75,0.24266718524468964
2025-02-03/2025-02-09,midpoint,4,-0.012559392743043962,0.0,0.0
2025-02-03/2025-02-09,opposite_extreme,4,-0.008007237093352937,0.0,0.0
2025-02-10/2025-02-16,midpoint,3,-0.00021315902009511056,0.6666666666666666,0.7637107537126127
2025-02-10/2025-02-16,opposite_extreme,3,-0.006137336023693374,0.0,0.0
2025-02-17/2025-02-23,midpoint,1,-0.0011615296302386335,0.0,0.0
2025-02-17/2025-02-23,opposite_extreme,1,-0.0007357169348791714,0.0,0.0
2025-02-24/2025-03-02,midpoint,2,-0.007677816084525113,0.0,0.0
2025-02-24/2025-03-02,opposite_extreme,2,-0.007677816084525113,0.0,0.0
2025-03-03/2025-03-09,midpoint,4,-0.006270817847315424,0.25,0.0389536998833243
2025-03-03/2025-03-09,opposite_extreme,4,-0.006113928223229426,0.5,0.4175789616595538
2025-03-10/2025-03-16,midpoint,3,-0.002832159998344075,0.0,0.0
2025-03-10/2025-03-16,opposite_extreme,3,0.0032574227356423346,1.0,inf
2025-03-17/2025-03-23,midpoint,2,-0.0023567479272630365,0.0,0.0
2025-03-17/2025-03-23,opposite_extreme,2,-0.009311141650116261,0.5,0.15012899747749361
2025-03-24/2025-03-30,midpoint,1,-0.00027389852585602004,0.0,0.0
2025-03-24/2025-03-30,opposite_extreme,1,0.0008956158563058203,1.0,inf
2025-03-31/2025-04-06,midpoint,2,-0.0029541276821108964,0.5,0.040657591300426836
2025-03-31/2025-04-06,opposite_extreme,2,0.0015446888546946091,0.5,13.112601788667288
2025-04-07/2025-04-13,midpoint,3,-0.008199867182686282,0.3333333333333333,0.25831441772321984
2025-04-07/2025-04-13,opposite_extreme,3,0.00967217010952659,0.6666666666666666,37.47203269302895
2025-04-14/2025-04-20,midpoint,4,-0.003739579198006604,0.0,0.0
2025-04-14/2025-04-20,opposite_extreme,4,-0.002812251382360853,0.5,0.5523383558888989
2025-04-21/2025-04-27,midpoint,2,-0.004080081088405296,0.0,0.0
2025-04-21/2025-04-27,opposite_extreme,2,0.003160391425278908,1.0,inf
2025-04-28/2025-05-04,midpoint,5,-0.011547150598743339,0.4,0.10038046540311561
2025-04-28/2025-05-04,opposite_extreme,5,-0.012203168070214265,0.2,0.1465501313006597
2025-05-05/2025-05-11,midpoint,5,-0.0060401363571720434,0.2,0.03369325184362126
2025-05-05/2025-05-11,opposite_extreme,5,-0.006036164088283558,0.4,0.12292355336045159
2025-05-12/2025-05-18,midpoint,4,0.00017130433820944369,0.5,1.2121444192447077
2025-05-12/2025-05-18,opposite_extreme,4,0.0030388029483974233,0.75,2.891290978660872
2025-05-19/2025-05-25,midpoint,4,-0.0006171024973433692,0.5,0.6041716424133676
2025-05-19/2025-05-25,opposite_extreme,4,-0.014676171074671451,0.0,0.0
2025-05-26/2025-06-01,midpoint,1,-0.001308456870607655,0.0,0.0
2025-05-26/2025-06-01,opposite_extreme,1,0.00016038890760894375,1.0,inf
2025-06-02/2025-06-08,midpoint,5,-0.002756628351925472,0.4,0.2863405671189411
2025-06-02/2025-06-08,opposite_extreme,5,0.001899982427489011,0.6,1.6768463021796043
2025-06-09/2025-06-15,midpoint,4,-0.0010621692641087366,0.25,0.44310559846560876
2025-06-09/2025-06-15,opposite_extreme,4,0.0022490449390248912,0.5,3.077699574095475
2025-06-16/2025-06-22,midpoint,2,-0.005080754871469972,0.0,0.0
2025-06-16/2025-06-22,opposite_extreme,2,-0.002660834992782468,0.5,0.21608011170584088
2025-06-23/2025-06-29,midpoint,3,-0.002000840416487959,0.0,0.0
2025-06-23/2025-06-29,opposite_extreme,3,-0.00349929869228105,0.3333333333333333,0.13092321972781815
2025-06-30/2025-07-06,midpoint,3,-0.003224930256928049,0.0,0.0
2025-06-30/2025-07-06,opposite_extreme,3,-0.0016439742168352645,0.6666666666666666,0.45715818728865515
2025-07-07/2025-07-13,midpoint,5,-0.004209659485503114,0.0,0.0
2025-07-07/2025-07-13,opposite_extreme,5,0.0008366877311207777,0.6,2.138860237460669
2025-07-14/2025-07-20,midpoint,1,-0.0028431933665314935,0.0,0.0
2025-07-14/2025-07-20,opposite_extreme,1,-0.0028431933665314935,0.0,0.0
2025-07-21/2025-07-27,midpoint,3,-0.0008270232417819656,0.3333333333333333,0.06726242910245304
2025-07-21/2025-07-27,opposite_extreme,3,-0.0045519665420655775,0.3333333333333333,0.1908400357456165
2025-07-28/2025-08-03,midpoint,3,0.00013858960177937085,0.6666666666666666,1.260188955901445
2025-07-28/2025-08-03,opposite_extreme,3,0.0028492617124173947,1.0,inf
2025-08-04/2025-08-10,midpoint,3,-0.0015451389331262444,0.0,0.0
2025-08-04/2025-08-10,opposite_extreme,3,-0.002907792595365999,0.6666666666666666,0.23329625601955062
2025-08-11/2025-08-17,midpoint,4,-0.0005201544857614815,0.5,0.6189703444705918
2025-08-11/2025-08-17,opposite_extreme,4,-0.0006698467515853235,0.5,0.8002030020075949
2025-08-18/2025-08-24,midpoint,3,-0.002765953777298824,0.3333333333333333,0.03937671947031841
2025-08-18/2025-08-24,opposite_extreme,3,-4.369987506958051e-05,0.3333333333333333,0.9667337618473325
2025-08-25/2025-08-31,midpoint,2,-0.00036219997824715744,0.5,0.5124659493343949
