period,tp_variant,trades_count,total_return,win_rate,profit_factor
2024-12-30/2025-01-05,midpoint,1,9.65515185136212e-05,1.0,inf
2024-12-30/2025-01-05,opposite_extreme,1,0.006345422006318602,1.0,inf
2025-01-06/2025-01-12,midpoint,4,-0.019026544691935654,0.0,0.0
2025-01-06/2025-01-12,opposite_extreme,4,-0.00765615187303359,0.0,0.0
2025-01-13/2025-01-19,midpoint,4,-0.004548250089999706,0.0,0.0
2025-01-13/2025-01-19,opposite_extreme,4,-0.006159797034939518,0.75,0.5228186287228825
2025-01-20/2025-01-26,midpoint,3,-0.007135222895924276,0.3333333333333333,0.14600666064486037
2025-01-20/2025-01-26,opposite_extreme,3,0.009898182715468051,0.3333333333333333,9.308081425925074
2025-01-27/2025-02-02,midpoint,4,-0.012716443968388558,0.0,0.0
2025-01-27/2025-02-02,opposite_extreme,4,0.0033362515500079404,0.5,3.380986922220621
2025-02-03/2025-02-09,midpoint,3,-0.02775839338517927,0.0,0.0
2025-02-03/2025-02-09,opposite_extreme,3,-0.017345901919095685,0.3333333333333333,0.2553222149263083
2025-02-10/2025-02-16,midpoint,4,-0.00680186939221139,0.25,0.0838994735005964
2025-02-10/2025-02-16,opposite_extreme,4,-0.013642271185151156,0.5,0.28735146411361745
2025-02-17/2025-02-23,midpoint,4,-0.022882971614831993,0.0,0.0
2025-02-17/2025-02-23,opposite_extreme,4,-0.020329200894857014,0.0,0.0
2025-02-24/2025-03-02,midpoint,4,-0.012170993937245855,0.25,0.2953797944518554
2025-02-24/2025-03-02,opposite_extreme,4,-0.02838561679453544,0.25,0.3049053120659654
2025-03-03/2025-03-09,midpoint,2,-0.0009825891548947974,0.5,0.8088765234376457
2025-03-03/2025-03-09,opposite_extreme,2,0.01585300480299434,1.0,inf
2025-03-10/2025-03-16,midpoint,3,-0.008465133966236493,0.3333333333333333,0.2532267734589171
2025-03-10/2025-03-16,opposite_extreme,3,0.004842929467397283,0.3333333333333333,2.2034437990518487
2025-03-17/2025-03-23,midpoint,3,-0.0003681348352383429,0.3333333333333333,0.8553153083156424
2025-03-17/2025-03-23,opposite_extreme,3,0.004404809999417836,0.6666666666666666,2.683596765179583
2025-03-24/2025-03-30,midpoint,5,-0.0146658787419649,0.4,0.017075353297264003
2025-03-24/2025-03-30,opposite_extreme,5,-0.003369519647024588,0.6,0.7347267540486475
2025-03-31/2025-04-06,midpoint,5,-0.010044351916815963,0.2,0.11382826730050953
2025-03-31/2025-04-06,opposite_extreme,5,0.00561437704714618,0.6,3.6982255821031966
2025-04-07/2025-04-13,midpoint,4,-0.028055775435050556,0.25,0.12177868673157069
2025-04-07/2025-04-13,opposite_extreme,4,-0.04774378419985248,0.25,0.19995303084022675
2025-04-14/2025-04-20,midpoint,4,-0.011316507608201798,0.0,0.0
2025-04-14/2025-04-20,opposite_extreme,4,-0.006153582181125938,0.5,0.24543419546274192
2025-04-21/2025-04-27,midpoint,3,-0.005151637124924946,0.0,0.0
2025-04-21/2025-04-27,opposite_extreme,3,-0.0006697956346263245,0.3333333333333333,0.7168358137249938
2025-04-28/2025-05-04,midpoint,4,-0.010165987546343791,0.0,0.0
2025-04-28/2025-05-04,opposite_extreme,4,-0.011806826548516836,0.25,0.20776206929546326
2025-05-05/2025-05-11,midpoint,6,-0.01848721987359747,0.0,0.0
2025-05-05/2025-05-11,opposite_extreme,6,-0.004268283241152582,0.0,0.0
2025-05-12/2025-05-18,midpoint,6,-0.0313693092546502,0.0,0.0
2025-05-12/2025-05-18,opposite_extreme,6,-0.032799440029903315,0.3333333333333333,0.08009474402513182
2025-05-19/2025-05-25,midpoint,5,-0.012496497184836586,0.2,0.13979982955245526
2025-05-19/2025-05-25,opposite_extreme,5,-0.012344974402897835,0.4,0.4243509600755844
2025-05-26/2025-06-01,midpoint,3,-0.014397039051132987,0.0,0.0
